"","sampleID","simpson_psmelt"
"1","P19N406",0.039887588471813
"2","P19N265",0.273671373926597
"3","P19N520",0.102735049214206
"4","P19N041",0.113772688535101
"5","P19N014",0.0207392880993931
"6","P19N038",0.0723588008246941
"7","P19N368",0.322303095333702
"8","P19N318",0.0801918953610817
"9","P19N321",0.135725926143487
"10","P19N471",0.498098534865799
"11","P19N276",0.0513017244955983
"12","P19N516",0.067936658797345
"13","P19N275",0.0102745100018239
"14","P19N193",0.534984202140985
"15","P19N210",0.184496488419656
"16","P19N182",0.050432442137605
"17","P19N212",0.115185777335609
"18","P19N288",0.244468275875135
"19","P19N407",0.13320847029892
"20","P19N267",0.0170590555648389
"21","P19N179",0.0870816401013679
"22","P19N287",0.0384717021293969
"23","P19N490",0.0760785393737745
"24","P19N519",0.465642334362606
"25","P19N217",0.727226280802487
"26","P19N312",0.199603432854248
"27","P19N010",0.687526732972696
"28","P19N515",0.100774707565752
"29","P19N124",0.0196438589933207
"30","P19N052",0.271691068293701
"31","P19N080",0.0212695403038143
"32","P19N026",0.0505714334525108
"33","P19N107",0.101333238543812
"34","P19N491",0.135035742367598
"35","P19N177",0.190176418579988
"36","P19N206",0.48103396440214
"37","P19N500",0.113375425001399
"38","P19N256",0.0790908238276768
"39","P19N131",0.698327353504092
"40","P19N021",0.0360016729862891
"41","P19N370",0.229982757155145
"42","P19N489",0.0399712203014949
"43","P19N330",0.0893759692012364
"44","P19N166",0.00243776594913991
"45","P19N132",0.106557524163625
"46","P19N361",0.148839911109283
"47","P19N382",0.183268612876281
"48","P19N333",0.137697500676167
"49","P19N392",0.505431319611291
"50","L19N007d",0.119002217671816
"51","L19N010d",0.16743067137164
"52","P19N237",0.164750691200629
"53","L19N009c",0.14690143322645
"54","L19N009a",0.256057567569921
"55","P19N045",0.233072441364298
"56","P19N236",0.375920309749291
"57","P19N224",0.391803326275528
"58","P19N416",0.0649400578697542
"59","P19N426",0.0496411831075341
"60","P19N209",0.436382205814087
"61","P19N303",0.20605910178049
"62","P19N274",0.371566545354398
"63","P19N364",0.0233247661187356
"64","P19N020",0.391888463507215
"65","P19N033",0.0162161246285788
"66","P19N204",0.105935329056013
"67","P19N503",0.0998634824178858
"68","P19N352",0.157263129748481
"69","P19N482",0.503028439849644
"70","P19N334",0.372276986689155
"71","P19N064",0.20928008960873
"72","P19N359",0.505881967980216
"73","P19N302",0.551663934394705
"74","L19N011c",0.0287403474470445
"75","P19N108",0.588748047671263
"76","P19N109",0.101431641890012
"77","P19N404",0.596367080288154
"78","P19N301",0.418861876963839
"79","P19N004",0.746726222517407
"80","P19N208",0.710492267480204
"81","P19N238",0.514427071538993
"82","L19N006a",0.0988615757910473
"83","P19N255",0.5519759892099
"84","P19N396",0.183209397762035
"85","P19N383",0.404581484340075
"86","P19N353",0.520415074514118
"87","P19N071",0.359986108657315
"88","P19N449",0.0643763128931619
"89","P19N369",0.376138963057864
"90","P19N205",0.694944972759657
"91","P19N428",0.478989686450524
"92","P19N095",0.0907809274085911
"93","P19N059",0.435790438537291
"94","P19N282",0.133987761794985
"95","P19N398",0.490285133405593
"96","P19N336",0.158108695543643
"97","P19N504",0.0270744607402215
"98","P19N393",0.0537653104595575
"99","L19N011b",0.770721342927197
"100","P19N281",0.223203891424423
"101","P19N278",0.511687824575293
"102","P19N421",0.146966232807584
"103","P19N269",0.319347661408063
"104","P19N189",0.647619317691867
"105","P19N066",0.592222193877551
"106","P19N431",0.499761711432692
"107","P19N086",0.601953127540892
"108","P19N294",0.0525530685516169
"109","L19N008a",0.506898004611438
"110","P19N194",0.740295050086626
"111","P19N069",0.372936258801822
"112","P19N243",0.07138376655242
"113","P19N016",0.234917841220749
"114","P19N417",0.231049908410194
"115","P19N264",0.373236930555556
"116","P19N390",0.4998736148983
"117","P19N394",0.133454614382951
"118","P19N025",0.196429234564114
"119","P19N444",0.501560774784304
"120","P19N085",0.417244039866701
"121","P19N356",0.517022497066185
"122","P19N402",0.35488768855187
"123","P19N260",0.301994902363374
"124","P19N191",0.496876219017468
"125","P19N125",0.460741691102965
"126","P19N463",0.650246400764261
"127","P19N188",0.0624365590215804
"128","P19N324",0.746651058939589
"129","P19N360",0.197649364959125
"130","P19N027",0.0558298468139561
"131","P19N362",0.515633289914071
"132","P19N050",0.484505888133496
"133","L19N008b",0.340285630107003
"134","P19N507",0.545065134545753
"135","P19N030",0.584367658379911
"136","P19N419",0.169808991958596
"137","P19N207",0.683008600302562
"138","P19N015",0.568199177798588
"139","P19N024",0.50084634174239
"140","P19N195",0.36468857731578
"141","P19N091",0.608268502481891
"142","P19N331",0.574822316044926
"143","P19N384",0.558223152665571
"144","P19N262",0.623835378874689
"145","P19N070",0.566517743362681
"146","P19N078",0.449949885032038
"147","P19N494",0.557761084104533
"148","P19N090",0.17349275650893
"149","P19N060",0.281661818229412
"150","L19N016b",0.595439503250186
"151","P19N403",0.514993790947709
"152","P19N183",0.47212614169195
"153","P19N447",0.0802280026389759
"154","P19N280",0.646451086887802
"155","P19N056",0.735094888318811
"156","P19N323",0.592710888161001
"157","P19N187",0.532954584615385
"158","L19N011a",0.667809850964088
"159","P19N343",0.640735952931954
"160","P19N357",0.557722555990339
"161","L19N017b",0.602589885061349
"162","P19N076",0.0833317623460746
"163","P19N008",0.519253055977614
"164","P19N434",0.729424788107097
"165","P19N277",0.710828076512076
"166","P19N053",0.654432030309569
"167","P19N517",0.514367106496633
"168","P19N097",0.521136792224011
"169","P19N079",0.603558389564942
"170","P19N225",0.217566716200726
"171","P19N110",0.46491306371502
"172","P19N425",0.666254383266503
"173","P19N018",0.632543770962967
"174","P19N375",0.417930206562432
"175","P19N137",0.83052118747948
"176","P19N234",0.123005513197387
"177","P19N423",0.527305695952952
"178","P19N122",0.603392314240846
"179","P19N408",0.789112661040511
"180","L19N019b",0.378669330698107
"181","P19N387",0.481870692236969
"182","P19N093",0.0915644671196009
"183","P19N216",0.112063261652434
"184","P19N332",0.635756303738708
"185","P19N198",0.0958714235419822
"186","L19N019d",0.665250026979353
"187","P19N376",0.601852819319211
"188","P19N160",0.206443378616289
"189","P19N327",0.610233873690888
"190","P19N254",0.618792132071568
"191","P19N211",0.653310919585834
"192","P19N266",0.787779300383019
"193","P19N089",0.533613508893985
"194","P19N365",0.733135805791097
"195","P19N450",0.087221197538683
"196","P19N518",0.744088396952122
"197","P19N438",0.378548498880752
"198","P19N293",0.46751741131348
"199","P19N028",0.339475476090529
"200","P19N138",0.163264192458041
"201","P19N354",0.64466604596392
"202","L19N010c",0.82889411912988
"203","P19N405",0.711366415467825
"204","L19N012b",0.734471057070541
"205","P19N401",0.702394659280911
"206","P19N120",0.87742509103885
"207","P19N263",0.659049111153309
"208","P19N092",0.0392000472161336
"209","P19N055",0.49646635086929
"210","P19N258",0.0931455043330347
"211","P19N226",0.13190593888675
"212","L19N015b",0.682211159836048
"213","P19N229",0.570118538282157
"214","P19N218",0.681756017987452
"215","P19N473",0.0125769031246897
"216","P19N002",0.622660908919016
"217","P19N245",0.383124095845207
"218","L19N017c",0.382873719327226
"219","L19N008f",0.0272177388602499
"220","P19N279",0.497150625938903
"221","P19N346",0.1656440832
"222","P19N367",0.800963980347732
"223","P19N178",0.754411384927652
"224","P19N113",0.43323298648635
"225","P19N335",0.509456019929101
"226","P19N230",0.725513568784238
"227","P19N213",0.0544900399385368
"228","L19N010b",0.749333718602163
"229","P19N373",0.55600460488877
"230","P19N133",0.402484939759036
"231","L19N015c",0.690642233762552
"232","P19N190",0.46667216932237
"233","P19N420",0.776122093637281
"234","P19N116",0.472627551020408
"235","P19N074",0.586221789673002
"236","L19N007a",0.133776945397403
"237","P19N433",0.760030568583472
"238","P19N307",0.683716092691387
"239","P19N436",0.86812243621949
"240","P19N427",0.62441877365232
"241","P19N019",0.456558462335936
"242","P19N492",0.399388816844561
"243","L19N013a",0.265692851353054
"244","P19N244",0.224706549852057
"245","P19N341",0.725299739333104
"246","P19N142",0.444623588606861
"247","P19N270",0.224967243717751
"248","P19N399",0.686257605164074
"249","P19N422",0.735380278893615
"250","L19N014c",0.646172939580183
"251","P19N273",0.0124743398084909
"252","P19N409",0.597674362381685
"253","P19N022",0.669403370053424
"254","P19N156",0.0523384569597872
"255","P19N286",0.588425452566745
"256","P19N466",0.287116074268726
"257","P19N410",0.782916957348873
"258","P19N424",0.776710235761262
"259","P19N509",0.0617930526500023
"260","P19N046",0.678491602920851
"261","P19N006",0.593882264120596
"262","P19N326",0.624417455533885
"263","P19N165",0.28618995495609
"264","P19N047",0.594430799594309
"265","P19N395",0.114287131402522
"266","P19N062",0.606893532553028
"267","P19N355",0.708302708182248
"268","P19N169",0.216507404238282
"269","P19N032",0.736929733787842
"270","P19N130",0.0945014652392292
"271","L19N018e",0.616108173037903
"272","P19N261",0.053489470398243
"273","P19N007",0.289010565052232
"274","P19N145",0.374688520364324
"275","P19N472",0.478256185107012
"276","L19N011e",0.57305708407333
"277","L19N016a",0.430251028163211
"278","P19N344",0.800469310741079
"279","L19N020c",0.643369593820468
"280","P19N380",0.331942250355998
"281","P19N309",0.722772744900461
"282","L19N018d",0.696522902734498
"283","P19N057",0.591659123501695
"284","P19N220",0.589875018176273
"285","P19N164",0.686896131624072
"286","P19N197",0.6517043058701
"287","L19N012c",0.455278176534435
"288","P19N246",0.4472982300242
"289","P19N316",0.489998164574816
"290","P19N163",0.765660574497653
"291","P19N495",0.0794352714312769
"292","P19N348",0.606639854946987
"293","P19N306",0.612278773340332
"294","P19N329",0.763605047151775
"295","P19N115",0.582509660558053
"296","P19N322",0.636413196013109
"297","L19N011d",0.599335799375441
"298","P19N180",0.86108544968185
"299","P19N351",0.320328198156178
"300","P19N459",0.00384060650887574
"301","P19N117",0.540299100746837
"302","P19N098",0.65654651096725
"303","P19N443",0.857202580400226
"304","P19N249",0.633888721417749
"305","P19N285",0.735708309886136
"306","P19N437",0.853292426735759
"307","L19N018b",0.511819058641975
"308","P19N298",0.652410949529126
"309","L19N006b",0.567729486917426
"310","P19N181",0.806807007782537
"311","P19N296",0.81051015488303
"312","P19N378",0.0372953802483789
"313","P19N253",0.525921359928352
"314","P19N127",0.67986944
"315","P19N300",0.666398862239554
"316","P19N251",0.743656210933075
"317","P19N235",0.714087054894534
"318","P19N118",0.775602996531051
"319","P19N448",0.527794135936202
"320","P19N319",0.599628532850085
"321","P19N501",0.627572124101074
"322","L19N018f",0.607595558908265
"323","P19N065",0.512653150147738
"324","P19N475",0.601300309627096
"325","L19N015a",0.76524032765989
"326","P19N162",0.638755533546192
"327","P19N228",0.649011661707876
"328","P19N242",0.508048742200448
"329","P19N084",0.194693314384434
"330","P19N305",0.745175428187176
"331","P19N460",0.531727731963735
"332","P19N042",0.602854973909454
"333","P19N315",0.707029366432239
"334","P19N126",0.57643944600403
"335","P19N411",0.566351476966083
"336","P19N506",0.440017006802721
"337","P19N017",0.129084023668639
"338","P19N219",0.813147264136565
"339","P19N106",0.55617989444711
"340","P19N377",0.719483005392589
"341","P19N227",0.579784320612187
"342","P19N345",0.80181581685744
"343","P19N464",0.428587905117066
"344","P19N467",0.395122281156113
"345","P19N051",0.571281179138322
"346","P19N240",0.67047681068338
"347","L19N018c",0.580705430772569
"348","P19N308",0.604757894736842
"349","P19N310",0.500746236985061
"350","P19N455",0.844760822244049
"351","P19N397",0.57291955017301
"352","P19N105",0.0554297577854671
"353","P19N430",0.427804350375999
"354","P19N087",0.541657159025566
"355","P19N320",0.586946302510577
"356","P19N340",0.703752049774747
"357","L19N020a",0.422292395074695
"358","P19N311",0.748608553339643
"359","P19N435",0.725070390540468
"360","P19N363",0.6048
"361","P19N157",0.172983697908238
"362","P19N347",0.317336695258743
"363","P19N374",0.771273888226789
"364","P19N480",0.210817174515235
"365","P19N505",0.14653093617411
"366","P19N259",0.872046857466007
"367","P19N289",0.753327651976301
"368","P19N295",0.793107276141007
"369","L19N017a",0.388328554562321
"370","P19N358",0.835003198715226
"371","L19N014a",0.670635298021687
"372","P19N297",0.628196377835272
"373","P19N111",0.27959595959596
"374","P19N099",0.547476146506617
"375","P19N484",0.818475
"376","P19N077",0.106650270061728
"377","L19N019a",0.696950180466664
"378","L19N014b",0.505720322605581
"379","P19N082",0.670205031263632
"380","P19N299",0.701730668375969
"381","P19N140",0.564567376483461
"382","P19N412",0.481888759875236
"383","L19N011f",0.797302190093356
"384","P19N290",0.649688699193359
"385","P19N445",0.80608528433198
"386","P19N313",0.556462418332945
"387","P19N328",0.744042848641143
"388","P19N167",0.0551926581829326
"389","P19N292",0.735056979415342
"390","P19N314",0.474639937122967
"391","P19N121",0.604962766368626
"392","P19N465",0.901924827663807
"393","P19N011",0.652744827221602
"394","P19N317",0.57375
"395","P19N451",0.541233368826439
"396","P19N233",0.644731193656726
"397","L19N008e",0.791348168280392
"398","P19N442",0.596810172856006
"399","P19N075",0.506537492123504
"400","P19N151",0.378144528120493
"401","P19N158",0.515598965814421
"402","P19N081",0.790349716446125
"403","P19N040",0.162372386971318
"404","P19N161",0.592110339506173
"405","P19N413",0.429978454909203
"406","P19N222",0.731120298531504
"407","P19N176",0.660118906064209
"408","P19N094",0.233452239397543
"409","L19N008c",0.211050951988239
"410","P19N272",0.566668540694515
"411","P19N170",0.656065339305205
"412","P19N456",0.465405462854714
"413","P19N023",0.549439155434065
"414","P19N486",0.681388225755597
"415","P19N096",0.11461349966585
"416","P19N338",0.412492380508444
"417","P19N088",0.545675193337299
"418","P19N214",0.53443950617284
"419","P19N049",0.0173899661434287
"420","P19N337",0.789139546351085
"421","P19N414",0.810434369894397
"422","P19N284",0.248047367094986
"423","P19N454",0.51109375
"424","P19N134",0.763287524007603
"425","L19N005d",0.536510860043575
"426","P19N388",0.690933706000524
"427","P19N440",0.791948491155047
"428","P19N508",0.669506172839506
"429","P19N304",0.681818181818182
"430","L19N009b",0.795895228839835
"431","P19N474",0.819501600365798
"432","P19N192",0.674077929803688
"433","P19N154",0.765568
"434","P19N381",0.584464774780024
"435","P19N129",0.698197736055538
"436","P19N502",0.804418145956608
"437","P19N391",0.6953027978669
"438","P19N196",0.602318785936469
"439","L19N006c",0.699298469387755
"440","P19N102",0.7569580078125
"441","L19N020b",0.5922
"442","P19N150",0.762363941851121
"443","P19N349",0.678711285154859
"444","P19N144",0.746025530581878
"445","P19N339",0.821827744904668
